text,label
"What are some good resources for learning about cybersecurity?","Other"
"Can you recommend a lightweight text editor for coding?","Other"
"I'm having difficulty understanding a specific programming concept. Can you recommend a tutor?","Other"
"Is there a way to increase the battery life of my laptop?","Other"
"What are some strategies for effective time management in software projects?","Other"
"Can you recommend a good YouTube channel for learning programming?","Other"
"I'm interested in starting a tech blog. What topics should I cover?","Other"
"Is it beneficial to learn multiple programming languages?","Other"
"What are some tips for debugging code more efficiently?","Other"
"Can you explain the difference between scrum and kanban in agile methodologies?","Other"
"I'm a beginner in programming. What projects should I start with?","Other"
"What are some common mistakes to avoid in software development?","Other"
"Can you recommend any forums or communities for software developers?","Other"
"How can I stay updated with the latest technology trends?","Other"
"Is it necessary to have a degree in computer science to be a successful software engineer?","Other"
"Should I use a desktop or a laptop for programming?","Other"
